perp,time,fundingRate
AAVE,2025-08-26 08:00:00.064000+00:00,1.25e-05
AAVE,2025-08-26 16:00:00.012000+00:00,1.12004e-05
AAVE,2025-08-27 00:00:00.041000+00:00,3.2174e-06
AAVE,2025-08-27 08:00:00.036000+00:00,1.25e-05
AAVE,2025-08-27 16:00:00.027000+00:00,1.25e-05
AAVE,2025-08-28 00:00:00.044000+00:00,1.3891e-06
AAVE,2025-08-28 08:00:00.011000+00:00,7.9482e-06
AAVE,2025-08-28 16:00:00.003000+00:00,1.25e-05
AAVE,2025-08-29 00:00:00.041000+00:00,1.25e-05
AAVE,2025-08-29 08:00:00.080000+00:00,1.25e-05
AAVE,2025-08-29 16:00:00.052000+00:00,1.25e-05
AAVE,2025-08-30 00:00:00.046000+00:00,1.1773e-06
AAVE,2025-08-30 08:00:00.065000+00:00,1.22998e-05
AAVE,2025-08-30 16:00:00.064000+00:00,-1.13661e-05
AAVE,2025-08-31 00:00:00.044000+00:00,-2.846e-07
AAVE,2025-08-31 08:00:00.011000+00:00,1.25e-05
AAVE,2025-08-31 16:00:00.054000+00:00,1.25e-05
AAVE,2025-09-01 00:00:00.052000+00:00,1.25e-05
AAVE,2025-09-01 08:00:00.004000+00:00,1.25e-05
AAVE,2025-09-01 16:00:00.053000+00:00,1.25e-05
AAVE,2025-09-02 00:00:00.036000+00:00,8.8007e-06
AAVE,2025-09-02 08:00:00.022000+00:00,1.25e-05
AAVE,2025-09-02 16:00:00.032000+00:00,1.25e-05
