token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
MAV,SHORT,2025-07-05,2025-08-04,0.04115,0.04633,0.041121195,0.046362431,4.285714285714286,-0.12745826087982132,0.0038571428571428567,-0.5501068323420913
APT,SHORT,2025-07-05,2025-08-04,4.3562,4.2986,4.35315066,4.30160902,4.285714285714286,0.011840077228110443,0.0038571428571428567,0.04688604526333047
TRB,LONG,2025-07-06,2025-08-05,36.395,35.187,36.4204765,35.1623691,4.285714285714286,-0.03454395771016341,0.0038571428571428567,-0.1519026759007003
NEAR,LONG,2025-07-06,2025-08-05,2.1683,2.4385,2.1698178099999996,2.43679305,4.285714285714286,0.12304039480623506,0.0038571428571428567,0.5234588348838645
kFLOKI,LONG,2025-07-06,2025-08-05,0.084034,0.10307,0.0840928238,0.10299785099999999,4.285714285714286,0.22481142082899105,0.0038571428571428567,0.9596203749813902
kBONK,LONG,2025-07-06,2025-08-05,0.022214,0.024605,0.022229549799999998,0.0245877765,4.285714285714286,0.10608522085319068,0.0038571428571428567,0.4507938036565315
OM,SHORT,2025-07-06,2025-08-05,0.20723,0.24728,0.207084939,0.24745309599999998,4.285714285714286,-0.19493526277157214,0.0038571428571428567,-0.8392939833067378
MELANIA,SHORT,2025-07-06,2025-08-05,0.19692,0.20423,0.196782156,0.204372961,4.285714285714286,-0.038574661210643395,0.0038571428571428567,-0.16917711947418598
AIXBT,SHORT,2025-07-06,2025-08-05,0.13085,0.11359,0.130758405,0.11366951299999999,4.285714285714286,0.13069058161117833,0.0038571428571428567,0.5562453497621928
DOGE,LONG,2025-07-07,2025-08-06,0.16779,0.20551,0.16790745299999998,0.205366143,6.0,0.22309128827056904,0.0054,1.3331477296234142
kBONK,LONG,2025-07-07,2025-08-06,0.022533,0.024575,0.0225487731,0.0245577975,6.0,0.08909683871004051,0.0054,0.5291810322602432
JTO,SHORT,2025-07-07,2025-08-06,1.8416,1.6673,1.8403108799999999,1.66846711,6.0,0.09337757651033393,0.0054,0.5548654590620036
MAV,SHORT,2025-07-07,2025-08-06,0.039074,0.04492,0.0390466482,0.044951444,6.0,-0.1512241401555179,0.0054,-0.9127448409331075
MOVE,SHORT,2025-07-07,2025-08-06,0.15043,0.13128,0.150324699,0.131371896,6.0,0.1260791016119049,0.0054,0.7510746096714294
LINK,LONG,2025-07-08,2025-08-07,13.913,17.987,13.9227391,17.9744091,5.0,0.29101098360738514,0.0045,1.4505549180369257
CELO,LONG,2025-07-08,2025-08-07,0.29526,0.31713,0.295466682,0.316908009,5.0,0.0725676643297467,0.0045,0.3583383216487335
COMP,SHORT,2025-07-08,2025-08-07,41.16,47.102,41.131187999999995,47.13497139999999,5.0,-0.1459666907748932,0.0045,-0.7343334538744659
SEI,SHORT,2025-07-08,2025-08-07,0.26163,0.29924,0.261446859,0.299449468,5.0,-0.1453550030983544,0.0045,-0.7312750154917719
XAI,SHORT,2025-07-08,2025-08-07,0.05043,0.04967,0.050394699,0.049704768999999996,5.0,0.013690527251685842,0.0045,0.0639526362584292
W,SHORT,2025-07-08,2025-08-07,0.06581,0.08043,0.065763933,0.080486301,5.0,-0.2238669028508377,0.0045,-1.1238345142541886
ATOM,LONG,2025-07-09,2025-08-08,4.2415,4.5878,4.24446905,4.5845885399999995,5.0,0.08013239959895556,0.0045,0.3961619979947778
ETC,LONG,2025-07-09,2025-08-08,17.306,22.435,17.3181142,22.419295499999997,5.0,0.2945575506136804,0.0045,1.468287753068402
LINK,LONG,2025-07-09,2025-08-08,14.054,19.597,14.0638378,19.5832821,5.0,0.3924564815444616,0.0045,1.957782407722308
MOVE,SHORT,2025-07-09,2025-08-08,0.14553,0.1414,0.145428129,0.14149898,5.0,0.027017806163207897,0.0045,0.13058903081603948
OM,SHORT,2025-07-09,2025-08-08,0.20465,0.27842,0.204506745,0.278614894,5.0,-0.3623750844990468,0.0045,-1.816375422495234
AIXBT,SHORT,2025-07-09,2025-08-08,0.1367,0.12904,0.13660430999999998,0.129130328,5.0,0.05471263681211809,0.0045,0.26906318406059043
AVAX,LONG,2025-07-10,2025-08-09,19.837,24.486,19.850885899999998,24.4688598,4.285714285714286,0.2326331390580409,0.0038571428571428567,0.9931420245344609
ADA,LONG,2025-07-10,2025-08-09,0.65254,0.8162,0.652996778,0.81562866,4.285714285714286,0.2490546469434494,0.0038571428571428567,1.063519915471926
SAND,LONG,2025-07-10,2025-08-09,0.27616,0.30226,0.276353312,0.302048418,4.285714285714286,0.09297918600664343,0.0038571428571428567,0.3946250828856147
ALGO,LONG,2025-07-10,2025-08-09,0.2008,0.27401,0.20094056,0.273818193,4.285714285714286,0.3626825415436286,0.0038571428571428567,1.5504966066155512
AIXBT,SHORT,2025-07-10,2025-08-09,0.15078,0.13476,0.15067445399999999,0.134854332,4.285714285714286,0.1049953829598745,0.0038571428571428567,0.44612306982803357
MOVE,SHORT,2025-07-10,2025-08-09,0.14941,0.1423,0.14930541299999997,0.14239961,4.285714285714286,0.04625286425482753,0.0038571428571428567,0.1943694182349751
JTO,SHORT,2025-07-10,2025-08-09,1.8899,1.8784,1.8885770699999997,1.8797148799999999,4.285714285714286,0.004692522291398933,0.0038571428571428567,0.016253666963138284
SUI,LONG,2025-07-11,2025-08-10,3.4823,3.8804,3.48473761,3.87768372,3.75,0.11276203662289512,0.003375,0.41948263733585667
GALA,LONG,2025-07-11,2025-08-10,0.017773,0.017915,0.0177854411,0.0179024595,3.75,0.006579448850441971,0.003375,0.021297933189157393
